200	3.22014E-08	3.18794E-08
400	3.23216E-08	3.19984E-08
600	3.25235E-08	3.21982E-08
800	3.28092E-08	3.24811E-08
1000	3.31822E-08	3.28504E-08
1200	3.36467E-08	3.33102E-08
1400	3.42083E-08	3.38662E-08
1600	3.48738E-08	3.4525E-08
1800	3.56516E-08	3.52951E-08
2000	3.6552E-08	3.61865E-08
2200	3.75871E-08	3.72113E-08
2400	3.87718E-08	3.83841E-08
2600	4.01237E-08	3.97225E-08
2800	4.16642E-08	4.12476E-08
3000	4.3419E-08	4.29848E-08
3200	4.54194E-08	4.49652E-08
3400	4.77033E-08	4.72263E-08
3600	5.03175E-08	4.98143E-08
3800	5.33197E-08	5.27865E-08
4000	5.67816E-08	5.62138E-08
4200	6.07937E-08	6.01858E-08
4400	6.54709E-08	6.48162E-08
4600	7.09607E-08	7.02511E-08
4800	7.74555E-08	7.66809E-08
5000	8.52091E-08	8.43571E-08
5200	9.45625E-08	9.36169E-08
5400	1.05981E-07	1.04922E-07
5600	1.20115E-07	1.18914E-07
5800	1.37887E-07	1.36508E-07
6000	1.6065E-07	1.59044E-07
6200	1.90434E-07	1.8853E-07
6400	2.30383E-07	2.28079E-07
6600	2.85537E-07	2.82681E-07
6800	3.64249E-07	3.60606E-07
7000	4.80779E-07	4.75971E-07
7200	6.59638E-07	6.53041E-07
7400	9.40028E-07	9.30628E-07
7600	1.36232E-06	1.3487E-06
7800	1.85997E-06	1.84137E-06
8000	2.05833E-06	2.03775E-06
8200	1.69459E-06	1.67764E-06
8400	1.15969E-06	1.14809E-06
8600	7.60754E-07	7.53146E-07
8800	5.10449E-07	5.05344E-07
9000	3.56036E-07	3.52476E-07
9200	2.57972E-07	2.55392E-07
9400	1.93223E-07	1.9129E-07
9600	1.48827E-07	1.47338E-07
9800	1.17346E-07	1.16173E-07
10000	9.43649E-08	9.34212E-08
